COUNTRY,CODE,YEAR,Import+Exports/GDP,GDP Growth,Inflation,Democracy Scale,Autocracy Scale,Per Capita GDP in 1995 USD,Percentage of Urban Population,Value Added of Manufacturing Sector (%GDP),Capital Openness,GDP per Capita in PPP values,Age Dependency Ratio,% of Population over 65,Real Exchange Rate,Social Expenditures as % of GDP,Social Exp. As a Percent of Public Spending,Per Capita Social Expenditures,Social Security Exp/GDP,Social Sec. Exp./Public Spending,Per-capita Social Security Exp.,Health and Educ/ GDP,Health and Education/Public Spending,Per Capita Health and Education ,Popularly-based Governments
ARGENTINA73,1,1973,13.3221,2.984,61.24,6,0,7844.648,79.78,34.33405,42,4014,57.746,7.327803,0.8936822,11.42857,50,672.3984,5.714286,33.33333,448.2656,2.857143,16.66667,224.1328,0
ARGENTINA74,1,1974,13.1916,5.4,23.4749,6,0,8115.477,80.24,34.03688,42,4154,57.9886,7.454409,0.8036519,12.2449,40,662.4879,6.122449,30,496.8659,2.040816,10,165.622,1
ARGENTINA75,1,1975,11.8027,-0.2,182.9264,6,0,7984.952,80.7,38.21511,42.3,4117,58.2321,7.581102,2.267481,12.58741,40.74074,614.2271,4.895105,25.92593,390.8718,2.797203,14.81481,223.3553,1
ARGENTINA76,1,1976,15.0969,-1.1,443.9643,0,9,7784.586,81.14,39.11675,42,4530,59.1568,7.686796,1.687307,8.695652,36.06557,451.2803,3.689065,22.95082,287.1784,2.108037,13.11475,164.1019,0
ARGENTINA77,1,1977,16.9423,6.9,176.0026,0,9,8188.496,81.58,36.59497,42,4608,60.0921,7.792665,1.89599,8.600096,39.93056,449.9174,3.726708,27.08333,305.1613,1.767797,12.84722,144.756,0
ARGENTINA78,1,1978,14.3238,-4.36,175.515,0,9,7701.403,82.02,34.1276,60,5627,61.0381,7.898712,1.445349,11.53993,46.90909,569.4388,5.292319,33.57576,407.5828,2.101643,13.33333,161.856,0
ARGENTINA79,1,1979,12.8407,8.89,159.5078,0,9,8274.682,82.46,32.68515,70,6429,61.995,8.004934,1.026389,11.8386,50.18034,646.2962,6.063158,38.95401,501.707,1.747368,11.22633,144.5892,0
ARGENTINA80,1,1980,11.5457,3.51,100.7638,0,9,8435.965,82.9,29.4761,80,6427,62.9631,8.111333,0.8094462,10.00781,50.84298,549.8755,5.036458,39.28499,424.8739,1.481771,11.55799,125.0017,0
ARGENTINA81,1,1981,14.293,-5.42,104.4764,0,8,7853.408,83.28,28.76524,80,6307,63.4272,8.188394,1.046533,10.66363,50.0048,547.6581,5.548568,39.78701,435.7517,1.42494,10.21779,111.9063,0
ARGENTINA82,1,1982,15.6115,-3.16,164.7769,0,8,7493.345,83.66,31.36026,80,6476,63.894,8.265501,2.470557,7.725609,46.56292,378.6107,4.031668,37.15418,302.1068,1.020959,9.408738,76.50399,0
